PVS,dataset,Bitrate,Framerate,Resolution,video_codec,0.0_quantil_StdDev_MotionX_non-i,1.0_quantil_FrameSize,iqr_Av_QPBB_non-i,iqr_min_QP,kurtosis_Av_Motion,kurtosis_Av_QPBB_non-i,kurtosis_FrameSize_non-i,mean_Av_QPBB_non_i,quant,std_FrameSize_non-i,std_max_QP_non-i,predicted_mos_mode3_baseline,p1204_3_score
fps_02_1920x1080_60_yuv420p.yuv_HEVC_2M,lofps_4K_testnum_014,1945.9931640625,60.0,2073600.0,HEVC,3.5231110228678855,10099.0,4.978166997416196,5.0,6.662398797038813,-0.048447292578692736,5.746769815468355,37.77976905756932,0.7407797854425356,1093.2312888962836,4.009625251065492,3.268422057091484,2.9727722630358837
fps_02_1920x1080_60_yuv420p.yuv_HEVC_5M,lofps_4K_testnum_014,4893.166015625,60.0,2073600.0,HEVC,3.3524070609178827,19941.0,4.906291926653143,5.0,6.726726586953159,-0.08504365409331527,3.0886748627368936,30.5304722073587,0.5986367099482098,2090.8342335850457,4.152525094140261,3.7977520277672254,3.546277089041606
fps_02_3840x2160_60_yuv420p.yuv_H264_10M,lofps_4K_testnum_013,9847.6611328125,60.0,8294400.0,H264,4.6456569330210264,38673.0,4.0,4.0,4.9166480852734695,0.4583785919868264,1.7463130991709939,35.62292715224964,0.6984887676911694,3567.7456798487033,3.3936473670704617,3.909453236784376,3.8616192271541445
fps_02_3840x2160_60_yuv420p.yuv_H264_4M,lofps_4k_testnum_011,3923.3359375,60.0,8294400.0,H264,0.013192494988763194,14875.0,5.0,5.0,3.9227519237015356,0.7848392945557201,1.9493080860833594,45.18624114515183,0.8860047283363105,1741.5915735966137,3.4527051668860786,2.3481920593763026,2.0149305778183164
fps_02_3840x2160_60_yuv420p.yuv_HEVC_2M,lofps_4K_testnum_014,2102.81640625,60.0,8294400.0,HEVC,6.092721240680418,8623.0,3.0,3.0,2.496792459776728,0.6509664715100745,1.6187362698281564,46.68356173213499,0.9153639555320586,1029.0579613162001,2.4081962693815804,2.494674994871592,2.1709451154232364
fps_02_3840x2160_60_yuv420p.yuv_HEVC_5M,lofps_4k_testnum_005,4734.8125,60.0,8294400.0,HEVC,4.9622893826397725,14821.0,3.8318256975150575,5.0,3.22294228267444,-0.3092313488118017,4.970260729812185,39.233045542573095,0.7692754027955508,1835.7061814674805,2.8691856874494404,3.8408615645712065,3.41911268028541
fps_02_960x540_120_yuv420p.yuv_HEVC_1M,hifps_120_testnum_000,962.3291015625,120.0,518400.0,HEVC,0.7848886868245447,3147.0,5.2551971326164875,6.0,6.361043271522231,-0.33943609618518655,2.4768568685932824,38.207464360123005,0.7491659678455491,265.28693674868504,3.9429898791501365,2.3945467462911223,2.3017166317912263
fps_02_960x540_30_yuv420p.yuv_H264_0.5M,lofps_4k_testnum_010,504.365234375,30.0,518400.0,H264,4.4822267194870165,7435.0,5.0,5.0,5.343803293501534,0.4558628492587582,1.1306871155012859,40.26117353918311,0.7894347752781002,805.2571820592653,4.188215815415981,1.6441415803466408,1.5758701983536068
fps_02_960x540_30_yuv420p.yuv_H264_1.5M,lofps_4k_testnum_007,1510.70703125,30.0,518400.0,H264,4.737098068087262,19350.0,4.0,4.0,4.774887792292289,0.505390597658741,1.7822164353629448,31.00285974855058,0.6078992107558937,2118.078489532053,4.517388577157395,2.465526401698007,2.3701289239112633
fps_02_960x540_30_yuv420p.yuv_HEVC_0.3M,lofps_4k_testnum_005,293.099609375,30.0,518400.0,HEVC,4.000369046465855,3137.0,4.77616580310881,6.0,4.7933777120747765,1.001355274177521,1.7851636043338734,42.5378117857966,0.8340747408979725,392.6630350182806,3.7927102661277328,1.6795381008067425,1.6527821283346666
fps_02_960x540_30_yuv420p.yuv_HEVC_0.5M,lofps_4k_testnum_009,503.05078125,30.0,518400.0,HEVC,3.2587157334002734,5659.0,4.0,4.75,4.641725590206593,0.7440491650909249,1.3405663143284885,38.162841493257595,0.7482910096717176,747.1786229367402,4.556105270743339,2.1525064071689135,2.013749373568835
fps_02_960x540_60_yuv420p.yuv_H264_0.5M,hifps_120_testnum_000,495.54296875,60.0,518400.0,H264,2.570892397780235,4137.0,6.145098039215696,6.0,8.243662467204492,0.5684844476977173,2.122346048827051,43.69961810305517,0.8568552569226504,339.90431591500163,3.969727028019568,1.408302688485111,1.382196827798269
fps_02_960x540_60_yuv420p.yuv_H264_0.75M,lofps_4K_testnum_013,737.833984375,60.0,518400.0,H264,2.577968817451244,6119.0,5.972058823529409,6.0,6.8748447367630074,0.626878849691411,3.1772106260771897,39.88704644648557,0.7820989499310896,477.64766136675456,4.211384426194301,1.8936491224145924,1.8527427193583252
fps_02_960x540_60_yuv420p.yuv_H264_1M,lofps_4k_testnum_010,995.9658203125,60.0,518400.0,H264,2.5488896261931018,7487.0,5.0,5.0,6.33541122028508,0.7080913109206413,5.066237508227307,37.121807211256595,0.7278785727697371,609.3474136604768,4.290909882295234,2.2044880257926573,2.0714273823358584
