PVS,dataset,Resolution,Framerate,bitrate,video_codec,quant,mean_qp,p1204_3_score
racing_01_1920x1080_60_yuv420p.yuv_AV1_10M,lofps_4k_testnum_011,2073600,60,10.0,AV1,0.727249039150544,185.44850498338872,3.5328985533685446
racing_01_1920x1080_60_yuv420p.yuv_AV1_2M,lofps_4K_testnum_014,2073600,60,2.0,AV1,0.890704188652205,227.1295681063123,2.995868000341196
racing_01_1920x1080_60_yuv420p.yuv_AV1_30M,lofps_4k_testnum_011,2073600,60,30.0,AV1,0.5846264087030161,149.0797342192691,3.8262637426982415
racing_01_1920x1080_60_yuv420p.yuv_AV1_5M,lofps_4k_testnum_010,2073600,60,5.0,AV1,0.8008142792000521,204.2076411960133,3.323520795741932
racing_01_3840x2160_30_yuv420p.yuv_AV1_50M,lofps_4K_testnum_014,8294400,30,50.0,AV1,0.6117908496732026,156.00666666666666,4.121669181157559
racing_01_3840x2160_30_yuv420p.yuv_AV1_5M,lofps_4k_testnum_011,8294400,30,5.0,AV1,0.9086013071895424,231.69333333333333,3.301971038380501
racing_01_3840x2160_60_yuv420p.yuv_AV1_10M,lofps_4k_testnum_010,8294400,60,10.0,AV1,0.8806955727382466,224.5773710482529,3.4176559906640818
racing_01_3840x2160_60_yuv420p.yuv_AV1_20M,lofps_4k_testnum_011,8294400,60,20.0,AV1,0.8004698052265832,204.1198003327787,3.6963666110460736
isometric_01_1280x720_120_yuv420p.yuv_AV1_20M,hifps_120_testnum_003,921600,120,20.0,AV1,0.3915490196078431,99.845,3.483102625627323
isometric_01_1280x720_120_yuv420p.yuv_AV1_5M,hifps_120_testnum_000,921600,120,5.0,AV1,0.6267941176470588,159.8325,3.14199234142856
isometric_01_1280x720_30_yuv420p.yuv_AV1_0.4M,lofps_4k_testnum_005,921600,30,0.4,AV1,0.8856209150326798,225.8333333333333,2.398170611759719
isometric_01_1280x720_30_yuv420p.yuv_AV1_1M,lofps_4k_testnum_009,921600,30,1.0,AV1,0.7581045751633987,193.31666666666663,2.8273462902045106
isometric_01_1280x720_30_yuv420p.yuv_AV1_5M,lofps_4k_testnum_009,921600,30,5.0,AV1,0.4826928104575164,123.08666666666667,3.3775524601958336
isometric_01_1280x720_60_yuv420p.yuv_AV1_1M,lofps_4K_testnum_013,921600,60,1.0,AV1,0.8113398692810458,206.89166666666668,2.6648640144525544
isometric_01_1920x1080_60_yuv420p.yuv_AV1_1M,lofps_4K_testnum_014,2073600,60,1.0,AV1,0.9049019607843136,230.75,2.935611799000108
isometric_01_1920x1080_60_yuv420p.yuv_AV1_2M,hifps_120_testnum_000,2073600,60,2.0,AV1,0.8220588235294117,209.625,3.2538560921543738
isometric_01_1920x1080_60_yuv420p.yuv_AV1_2M,hifps_120_testnum_003,2073600,60,2.0,AV1,0.8220588235294117,209.625,3.2538560921543738
